Wall time,Step,Value
1767186173.3702114,591,139.0
1767186173.4647944,730,139.0
1767186174.0806503,1614,150.0
1767186174.471847,2185,135.0
1767186174.5683422,2335,150.0
1767186174.8701358,2750,131.0
1767186174.976817,2902,152.0
1767186175.0748694,3036,134.0
1767186175.2667158,3305,135.0
1767186175.3829827,3452,147.0
1767186175.6549559,3887,147.0
1767186175.7378175,4031,144.0
1767186176.8366034,5578,134.0
1767186177.0261853,5859,146.0
1767186177.6782444,6837,152.0
1767186177.778076,6987,150.0
1767186177.8827016,7131,144.0
1767186178.0465782,7373,100.0
1767186178.3220465,7785,146.0
1767186178.605036,8205,141.0
1767186178.8817263,8619,134.0
1767186178.9767728,8752,133.0
1767186179.0794756,8899,147.0
1767186179.1797848,9052,153.0
1767186179.3619623,9345,146.0
1767186179.4578207,9485,140.0
1767186179.5856233,9638,153.0
1767186179.6753063,9782,144.0
1767186179.8295429,10036,134.0
1767186179.9366329,10183,147.0
1767186180.4940288,10999,138.0
1767186180.7041454,11282,138.0
1767186181.00795,11687,127.0
1767186181.2715998,12111,136.0
1767186181.6902747,12702,151.0
1767186182.615315,14093,142.0
1767186183.0124812,14629,146.0
1767186183.3113735,15060,146.0
1767186183.4086106,15205,145.0
1767186183.6015952,15475,137.0
1767186184.241279,16490,142.0
1767186184.706228,17187,146.0
1767186185.1062949,17746,147.0
1767186185.1962976,17885,139.0
1767186185.3928113,18179,150.0
1767186185.5992067,18463,132.0
1767186185.6949484,18595,132.0
1767186186.2017846,19291,146.0
1767186186.2828453,19427,136.0
1767186186.9867842,20444,146.0
1767186187.1883514,20718,126.0
1767186187.3065042,20885,167.0
1767186187.5855424,21306,145.0
1767186188.2536767,22279,150.0
1767186188.5616863,22708,146.0
1767186188.765389,23000,143.0
1767186188.9674225,23285,146.0
1767186189.5687914,24136,142.0
1767186189.669353,24275,139.0
1767186189.7908921,24428,153.0
1767186190.0651243,24847,135.0
1767186190.256255,25113,134.0
1767186190.6521485,25661,149.0
1767186190.9348528,26103,148.0
1767186191.0337138,26240,137.0
1767186191.133589,26371,131.0
1767186191.5081427,26898,107.0
1767186191.5918577,27043,145.0
1767186191.6999478,27188,145.0
1767186192.3393598,28160,131.0
1767186192.5979538,28526,129.0
1767186192.7161396,28689,163.0
1767186192.8108299,28825,136.0
1767186192.8941972,28969,144.0
1767186193.1100552,29270,148.0
1767186193.4704905,29843,141.0
1767186193.6814785,30139,149.0
1767186193.8614388,30419,146.0
1767186194.265724,30999,144.0
1767186194.362838,31132,133.0
1767186194.4639816,31268,136.0
1767186194.7609763,31685,145.0
1767186195.2802596,32423,148.0
1767186196.2597542,33837,147.0
1767186196.4529665,34104,137.0
1767186196.7453206,34535,136.0
1767186196.8191292,34650,115.0
1767186196.927249,34795,145.0
1767186197.7525444,35930,145.0
1767186198.1672773,36513,142.0
1767186198.2668033,36648,135.0
1767186198.3729582,36783,135.0
1767186199.481421,38355,149.0
1767186199.8062787,38801,165.0
1767186200.0295057,39102,134.0
1767186200.2195067,39392,148.0
1767186200.4161382,39667,137.0
1767186200.6086814,39959,149.0
1767186200.7128692,40108,149.0
1767186200.905021,40375,133.0
1767186201.206056,40806,141.0
1767186201.383499,41070,135.0
1767186201.8188696,41733,110.0
1767186201.940134,41900,167.0
1767186202.0293155,42044,144.0
1767186202.139213,42180,136.0
1767186202.8700063,43288,142.0
1767186203.0979013,43585,155.0
1767186203.478319,44147,145.0
1767186203.847871,44708,131.0
1767186204.0486374,44985,148.0
1767186204.1658905,45137,152.0
1767186204.4805834,45576,149.0
1767186206.000667,47730,144.0
1767186206.101483,47865,135.0
1767186206.6181052,48562,133.0
1767186206.8167667,48832,132.0
1767186206.9291518,48992,160.0
1767186207.5311909,49858,141.0
1767186207.7023916,50142,142.0
1767186208.1008644,50700,135.0
1767186208.521259,51303,148.0
1767186208.6257951,51446,143.0
1767186208.7253633,51583,137.0
1767186208.828647,51730,147.0
1767186208.9339333,51874,144.0
1767186209.0342839,52016,142.0
1767186210.1052492,53532,132.0
1767186210.9047015,54648,147.0
1767186211.3158052,55227,134.0
1767186211.5226119,55494,134.0
1767186211.7240722,55775,144.0
1767186212.0346563,56179,130.0
1767186212.5628161,56888,144.0
1767186212.7683637,57171,148.0
1767186213.292981,57879,150.0
1767186213.679051,58449,160.0
1767186213.791676,58602,153.0
1767186213.9095933,58749,147.0
1767186214.219724,59188,145.0
1767186214.5167222,59609,143.0
1767186214.616918,59746,137.0
1767186214.8785305,60122,111.0
1767186214.9802158,60264,142.0
1767186215.3950639,60843,147.0
1767186215.8930192,61527,147.0
1767186215.9913018,61666,139.0
1767186216.0998673,61805,139.0
1767186216.2857852,62080,143.0
1767186216.497826,62368,147.0
1767186216.6744714,62641,126.0
1767186216.7647417,62776,135.0
1767186216.959094,63064,142.0
1767186217.3504658,63594,129.0
1767186217.5477216,63890,150.0
1767186217.8883939,64384,141.0
1767186218.283846,64966,147.0
1767186218.3924363,65113,147.0
1767186218.7927146,65693,147.0
1767186218.8884842,65827,134.0
1767186219.0979404,66117,150.0
1767186219.2481506,66354,119.0
1767186219.6291082,66882,114.0
1767186219.727584,67016,134.0
1767186220.0149252,67448,141.0
1767186220.220284,67737,148.0
1767186220.3099146,67882,145.0
1767186220.5218368,68167,134.0
1767186220.6230066,68312,145.0
1767186220.881062,68712,143.0
1767186220.9688723,68857,145.0
1767186221.0764287,69004,147.0
1767186221.2698967,69264,134.0
1767186221.579497,69672,123.0
1767186221.985558,70218,138.0
1767186222.3820405,70770,135.0
1767186222.4828935,70911,141.0
1767186223.056675,71749,136.0
1767186223.1594813,71893,144.0
1767186223.2569144,72026,133.0
1767186223.3614821,72171,145.0
1767186223.4573069,72305,134.0
1767186223.5432227,72446,141.0
1767186223.8116052,72838,149.0
1767186223.915895,72988,150.0
1767186224.023872,73139,151.0
1767186224.440684,73726,141.0
1767186225.338715,75069,147.0
1767186225.4282517,75220,151.0
1767186225.6182384,75488,134.0
1767186225.7256284,75637,149.0
1767186225.8099763,75784,147.0
1767186225.9774225,76074,145.0
1767186226.191576,76372,148.0
1767186226.3746753,76649,149.0
1767186226.5911498,76946,152.0
1767186226.6902575,77093,147.0
1767186226.9759932,77521,143.0
1767186227.1742728,77804,147.0
1767186227.4976876,78244,152.0
1767186227.6032562,78376,132.0
1767186228.213651,79226,131.0
1767186228.320009,79374,148.0
1767186228.4217296,79517,143.0
1767186228.8020697,80097,142.0
1767186229.1018047,80553,157.0
1767186229.3036227,80855,146.0
1767186229.6002455,81302,160.0
1767186229.9895055,81864,132.0
1767186230.3508878,82378,133.0
1767186230.4586942,82525,147.0
1767186230.7291546,82907,133.0
1767186230.936609,83183,146.0
1767186231.0153003,83306,123.0
1767186231.2831786,83699,146.0
1767186231.4675019,83975,144.0
1767186231.6655622,84245,133.0
1767186231.7716007,84389,144.0
1767186232.0300233,84800,148.0
1767186232.1250484,84930,130.0
1767186232.5985153,85602,131.0
1767186233.1090076,86314,142.0
1767186233.1831555,86432,118.0
1767186233.3900113,86732,153.0
1767186233.72836,87250,135.0
1767186233.9189286,87543,150.0
1767186234.0249667,87692,149.0
1767186234.2984748,88089,145.0
1767186234.4596822,88327,132.0
1767186234.5417507,88469,142.0
1767186234.8877516,89010,143.0
1767186235.2628424,89561,146.0
1767186235.5288801,89977,146.0
1767186235.6368134,90124,147.0
1767186235.7344573,90257,133.0
1767186235.8333616,90396,139.0
1767186235.9382572,90543,147.0
1767186236.4220288,91267,136.0
1767186236.6231966,91547,131.0
1767186236.7218487,91681,134.0
1767186236.9250338,91957,139.0
1767186237.032809,92106,149.0
1767186237.3274918,92543,148.0
1767186237.5156143,92819,142.0
1767186238.1615846,93785,146.0
1767186238.4759028,94222,133.0
1767186238.9807744,94937,146.0
1767186239.0691438,95079,142.0
1767186239.4864292,95657,137.0
1767186239.6814096,95948,147.0
1767186239.7665393,96086,138.0
1767186239.8764265,96239,153.0
1767186240.1019175,96617,144.0
1767186240.5753288,97291,148.0
1767186240.7853925,97579,135.0
1767186240.9800816,97855,131.0
1767186241.0790577,98019,164.0
1767186241.2800124,98275,127.0
1767186241.5496368,98654,141.0
1767186241.6795044,98822,168.0
1767186241.8713932,99085,127.0
1767186242.3713424,99784,133.0
1767186242.5602868,100075,142.0
1767186242.828812,100509,143.0
1767186243.0100815,100786,136.0
1767186243.302978,101221,135.0
1767186243.403051,101349,128.0
1767186243.6041322,101641,138.0
1767186243.8209164,101950,143.0
1767186243.9288185,102103,153.0
1767186244.1122363,102369,128.0
1767186244.2095017,102499,130.0
1767186244.412033,102782,133.0
1767186244.4974349,102928,146.0
1767186244.5838943,103071,143.0
1767186245.07133,103760,150.0
1767186245.4750555,104323,134.0
1767186245.6734598,104608,133.0
1767186246.869971,106293,145.0
1767186247.0759602,106568,146.0
1767186247.6031342,107368,144.0
1767186247.7065926,107508,140.0
1767186247.9859133,107930,145.0
1767186248.0657368,108057,127.0
1767186248.3763316,108488,149.0
1767186248.6332967,108915,146.0
1767186248.718118,109060,145.0
1767186248.9207585,109346,133.0
1767186249.026355,109491,145.0
1767186249.111235,109636,145.0
1767186249.2006395,109781,145.0
1767186249.2981837,109919,138.0
1767186249.9164975,110793,147.0
1767186250.2102299,111234,152.0
1767186251.4814987,113038,144.0
1767186251.5910661,113187,149.0
1767186251.6879451,113329,142.0
1767186251.801593,113478,149.0
1767186252.1099584,113911,130.0
1767186252.891737,115032,151.0
1767186252.9962626,115181,149.0
1767186253.7046256,116278,144.0
1767186253.80034,116419,141.0
1767186254.2163079,116997,143.0
1767186254.3007054,117134,137.0
1767186254.5081205,117420,160.0
1767186254.594361,117563,143.0
1767186254.8974512,118003,144.0
1767186255.000836,118151,148.0
1767186255.3079395,118571,140.0
1767186255.5057733,118852,149.0
1767186255.9688907,119537,148.0
1767186256.036457,119649,112.0
1767186256.2837417,120031,111.0
1767186256.5467997,120430,118.0
1767186256.8466184,120843,129.0
1767186257.0184157,121094,121.0
1767186257.2856097,121479,140.0
1767186257.3904393,121625,146.0
1767186257.7866724,122201,146.0
1767186257.8734746,122342,141.0
1767186259.0965128,124093,130.0
1767186259.2526495,124352,112.0
1767186259.6375582,124923,143.0
1767186259.8179944,125202,143.0
1767186260.1100388,125641,145.0
1767186260.3157494,125922,147.0
1767186260.4135733,126051,129.0
1767186260.685188,126472,141.0
1767186260.7873447,126606,134.0
1767186261.2502325,127301,153.0
1767186261.3468983,127433,132.0
1767186261.555051,127726,150.0
1767186261.6406016,127873,147.0
1767186261.933849,128312,144.0
1767186262.323707,128895,148.0
1767186262.388149,129003,108.0
1767186262.5865443,129278,147.0
1767186263.2880034,130280,145.0
1767186263.4956257,130570,143.0
1767186263.5896251,130699,129.0
1767186263.6719542,130843,144.0
1767186263.9677815,131258,144.0
1767186264.3590314,131830,136.0
1767186264.544994,132120,142.0
1767186264.6319,132263,143.0
1767186264.923224,132696,153.0
1767186265.3392527,133262,136.0
1767186265.6041944,133698,143.0
1767186265.9131448,134126,147.0
1767186266.416204,134838,137.0
1767186266.7195518,135262,145.0
1767186266.9090114,135525,129.0
1767186267.118455,135812,142.0
1767186267.2298446,135963,151.0
1767186268.1614025,137337,149.0
1767186268.2628398,137478,141.0
1767186268.5710363,137890,148.0
1767186268.9724832,138464,144.0
1767186269.3574545,139044,148.0
1767186269.5503168,139329,146.0
1767186269.7499812,139598,141.0
1767186269.971208,139900,145.0
1767186270.1707084,140175,147.0
