Wall time,Step,Value
1767186173.3702052,591,-29.44554901123047
1767186173.4647884,730,-79.7311782836914
1767186174.0806437,1614,-23.484968185424805
1767186174.4718409,2185,-66.95939636230469
1767186174.5683358,2335,-81.07638549804688
1767186174.8701293,2750,-51.00115203857422
1767186174.9768083,2902,-78.06010437011719
1767186175.074863,3036,-48.866085052490234
1767186175.2667093,3305,-42.821834564208984
1767186175.3829763,3452,-92.32164001464844
1767186175.6549494,3887,-41.96229934692383
1767186175.737811,4031,-47.876869201660156
1767186176.8365974,5578,-38.92389678955078
1767186177.0261788,5859,-30.134174346923828
1767186177.6782382,6837,-88.82596588134766
1767186177.7780695,6987,-39.12355041503906
1767186177.8826952,7131,-29.788982391357422
1767186178.046572,7373,-77.23283386230469
1767186178.3220403,7785,-89.73909759521484
1767186178.6050298,8205,-29.22787857055664
1767186178.8817198,8619,-42.358665466308594
1767186178.9767668,8752,-76.829345703125
1767186179.0794692,8899,-30.161623001098633
1767186179.1797788,9052,-89.1944580078125
1767186179.361956,9345,-85.96491241455078
1767186179.4578145,9485,-19.92397117614746
1767186179.585617,9638,-35.791656494140625
1767186179.6753001,9782,-39.72126007080078
1767186179.8295364,10036,-71.08454132080078
1767186179.9366267,10183,-25.874523162841797
1767186180.494022,10999,-85.42264556884766
1767186180.7041392,11282,-84.29866790771484
1767186181.0079432,11687,-56.10919189453125
1767186181.2715936,12111,-71.27648162841797
1767186181.6902688,12702,-40.46310806274414
1767186182.6153083,14093,-53.74002456665039
1767186183.0124729,14629,-24.948497772216797
1767186183.3113673,15060,-93.71287536621094
1767186183.4086049,15205,-52.29231262207031
1767186183.6015885,15475,-41.97316360473633
1767186184.2412727,16490,-49.25105285644531
1767186184.7062216,17187,-39.149627685546875
1767186185.1062872,17746,-20.466659545898438
1767186185.1962867,17885,-95.31903076171875
1767186185.3928034,18179,-88.4590072631836
1767186185.5991995,18463,-39.931034088134766
1767186185.6949406,18595,-43.07381820678711
1767186186.2017784,19291,-30.965259552001953
1767186186.2828393,19427,-75.1948471069336
1767186186.9867778,20444,-24.320335388183594
1767186187.1883452,20718,-47.41481018066406
1767186187.3064978,20885,-90.4780044555664
1767186187.5855365,21306,-32.05463790893555
1767186188.2536705,22279,-31.723045349121094
1767186188.5616796,22708,-80.8721923828125
1767186188.765383,23000,-29.118728637695312
1767186188.9674165,23285,-25.69827651977539
1767186189.5687852,24136,-23.519926071166992
1767186189.669347,24275,-71.69987487792969
1767186189.7908862,24428,-90.718505859375
1767186190.0651186,24847,-36.30522918701172
1767186190.2562492,25113,-42.02894592285156
1767186190.6521423,25661,-91.20862579345703
1767186190.9348466,26103,-93.47098541259766
1767186191.0337079,26240,-78.80010986328125
1767186191.133583,26371,-39.88322830200195
1767186191.5081363,26898,-77.31256866455078
1767186191.5918517,27043,-41.59355545043945
1767186191.6999416,27188,-20.217403411865234
1767186192.3393452,28160,-41.5501594543457
1767186192.5979476,28526,-53.139041900634766
1767186192.716133,28689,-85.35884094238281
1767186192.810824,28825,-89.38733673095703
1767186192.8941908,28969,-47.89513397216797
1767186193.110049,29270,-89.13237762451172
1767186193.4704845,29843,-51.31016159057617
1767186193.6814718,30139,-87.54039001464844
1767186193.8614328,30419,-40.1671028137207
1767186194.2657175,30999,-20.811119079589844
1767186194.3628316,31132,-55.12177658081055
1767186194.4639752,31268,-30.162336349487305
1767186194.7609704,31685,-94.86473846435547
1767186195.2802534,32423,-98.80659484863281
1767186196.259748,33837,-84.03116607666016
1767186196.4529603,34104,-89.14879608154297
1767186196.7453146,34535,-77.06283569335938
1767186196.819123,34650,-65.24021911621094
1767186196.9272428,34795,-27.725147247314453
1767186197.7525384,35930,-87.79688262939453
1767186198.1672714,36513,-38.364322662353516
1767186198.266797,36648,-41.45838165283203
1767186198.3729517,36783,-42.530364990234375
1767186199.4814148,38355,-93.88461303710938
1767186199.8062727,38801,-87.91383361816406
1767186200.0295,39102,-45.448856353759766
1767186200.2195008,39392,-28.2153263092041
1767186200.4161325,39667,-37.49153137207031
1767186200.6086752,39959,-25.82997703552246
1767186200.7128632,40108,-30.70473861694336
1767186200.9050152,40375,-42.96012496948242
1767186201.2060504,40806,-38.00956726074219
1767186201.3834925,41070,-73.40840148925781
1767186201.8188634,41733,-74.22096252441406
1767186201.9401283,41900,-89.51213836669922
1767186202.0293097,42044,-41.618408203125
1767186202.1392071,42180,-46.11667251586914
1767186202.87,43288,-43.75154113769531
1767186203.0978954,43585,-29.71257781982422
1767186203.4783127,44147,-40.451473236083984
1767186203.847865,44708,-54.27620315551758
1767186204.0486317,44985,-90.7243423461914
1767186204.1658847,45137,-38.02947998046875
1767186204.4805772,45576,-90.68516540527344
1767186206.0006616,47730,-94.09031677246094
1767186206.101477,47865,-38.68463897705078
1767186206.6180992,48562,-76.83062744140625
