Wall time,Step,Value
1767184216.6539228,43,43.0
1767184216.7856586,118,38.0
1767184216.8753817,171,53.0
1767184216.9345987,207,36.0
1767184217.4390752,493,31.0
1767184217.4911366,527,34.0
1767184217.618041,615,30.0
1767184217.722439,676,61.0
1767184217.7783544,714,38.0
1767184217.8715649,774,29.0
1767184217.9264061,813,39.0
1767184217.9838784,851,38.0
1767184218.0982463,925,38.0
1767184218.1572685,961,36.0
1767184218.3136864,1065,29.0
1767184218.3711448,1102,37.0
1767184218.4875975,1182,43.0
1767184218.5668023,1233,51.0
1767184218.7718718,1359,45.0
1767184218.8200412,1393,34.0
1767184218.9358883,1465,25.0
1767184218.9807625,1495,30.0
1767184219.0569777,1543,48.0
1767184219.119127,1582,39.0
1767184219.1729486,1619,37.0
1767184219.640541,1903,42.0
1767184219.6718693,1926,23.0
1767184219.7862773,1993,67.0
1767184219.844961,2029,36.0
1767184220.3625176,2078,49.0
1767184220.444634,2126,48.0
1767184220.5856166,2216,43.0
1767184220.6342864,2249,33.0
1767184220.9195735,2408,72.0
1767184221.1303134,2537,30.0
1767184221.1879613,2576,39.0
1767184221.236607,2608,32.0
1767184221.3428495,2670,62.0
1767184221.4972563,2756,39.0
1767184221.551829,2787,31.0
1767184221.6188443,2832,45.0
1767184221.6794894,2868,36.0
1767184221.7906272,2941,29.0
1767184221.847721,2975,34.0
1767184222.0187938,3073,36.0
1767184222.1498427,3153,36.0
1767184222.2975464,3238,37.0
1767184222.4471421,3326,24.0
1767184222.598713,3402,76.0
1767184222.7082484,3476,38.0
1767184222.7754748,3516,40.0
1767184222.8951185,3589,25.0
1767184222.9676728,3633,44.0
1767184223.1701345,3758,35.0
1767184223.2130113,3788,30.0
1767184223.557917,3994,47.0
1767184223.9795127,4171,31.0
1767184224.0382683,4209,38.0
1767184224.3015716,4369,51.0
1767184224.482714,4482,29.0
1767184224.543658,4523,41.0
1767184224.7045774,4623,68.0
1767184224.8104727,4681,58.0
1767184224.8783069,4727,46.0
1767184225.1786478,4906,80.0
1767184225.238085,4944,38.0
1767184225.2829182,4973,29.0
1767184225.5435305,5140,23.0
1767184225.8207781,5319,31.0
1767184225.8574438,5347,28.0
1767184226.0040534,5434,43.0
1767184226.0571191,5465,31.0
1767184226.1843271,5534,69.0
1767184226.2383454,5570,36.0
1767184226.283471,5601,31.0
1767184226.4318502,5691,54.0
1767184226.5986965,5790,60.0
1767184226.6584425,5829,39.0
1767184226.9683661,6022,26.0
1767184227.068882,6077,55.0
1767184227.31186,6151,33.0
1767184227.3583276,6179,28.0
1767184227.6091855,6323,34.0
1767184228.1249042,6658,41.0
1767184228.345046,6781,42.0
1767184228.3919287,6810,29.0
1767184228.51224,6882,33.0
1767184228.6676164,6964,82.0
1767184228.7103868,6988,24.0
1767184228.9339938,7105,60.0
1767184229.2150633,7283,59.0
1767184229.268888,7319,36.0
1767184229.368077,7369,50.0
1767184229.6401618,7526,53.0
1767184229.6902826,7558,32.0
1767184229.7359188,7595,37.0
1767184229.7936115,7629,34.0
1767184229.9985845,7738,48.0
1767184230.065242,7780,42.0
1767184230.2026749,7858,56.0
1767184230.2623096,7900,42.0
1767184230.3199332,7934,34.0
1767184230.3880756,7975,41.0
1767184230.609208,8108,47.0
1767184230.745456,8175,67.0
1767184230.951734,8215,40.0
1767184231.018951,8260,45.0
1767184231.2042613,8372,41.0
1767184231.4049184,8491,47.0
1767184231.5202491,8563,72.0
1767184231.5845165,8601,38.0
1767184231.738532,8687,51.0
1767184231.7998424,8725,38.0
1767184231.8604717,8766,41.0
1767184231.9300585,8810,44.0
1767184232.016663,8871,39.0
1767184232.1374083,8948,48.0
1767184232.285418,9039,45.0
1767184232.4230194,9126,42.0
1767184232.5679877,9216,55.0
1767184232.6490548,9267,51.0
1767184232.7894754,9356,51.0
1767184232.8468225,9397,41.0
1767184232.8950598,9428,31.0
1767184232.9603543,9469,41.0
1767184233.0073135,9503,34.0
1767184233.205547,9619,86.0
1767184233.297794,9677,58.0
1767184233.589609,9870,54.0
1767184233.7888887,9997,25.0
1767184234.4393237,10140,40.0
1767184234.5043306,10182,42.0
1767184234.571864,10228,46.0
1767184234.8319485,10301,73.0
1767184234.8878932,10338,37.0
1767184235.2368605,10526,56.0
1767184235.2689495,10552,26.0
1767184235.537135,10689,77.0
1767184235.5702426,10715,26.0
1767184235.6280925,10752,37.0
1767184235.7830167,10827,75.0
1767184235.8944616,10898,44.0
1767184236.0664217,11003,27.0
1767184236.1142347,11033,30.0
1767184236.2084434,11084,51.0
1767184236.3728845,11189,34.0
1767184236.453313,11237,48.0
1767184236.5112321,11274,37.0
1767184236.5622966,11308,34.0
1767184236.7781584,11435,71.0
1767184237.2550664,11727,25.0
1767184237.4349117,11836,49.0
1767184237.5748055,11922,86.0
1767184237.7698972,12049,32.0
1767184237.8119247,12076,27.0
1767184237.8536096,12105,29.0
1767184238.069408,12236,96.0
1767184238.3054175,12309,41.0
1767184238.5372922,12436,55.0
1767184238.6406875,12498,62.0
1767184238.8188882,12601,51.0
1767184238.9658058,12691,36.0
1767184239.0309756,12739,48.0
1767184239.2022219,12840,63.0
1767184239.3615365,12929,89.0
1767184239.8577824,13191,81.0
1767184240.0333734,13288,97.0
1767184240.171656,13366,78.0
1767184240.2380617,13413,47.0
1767184240.3046422,13456,43.0
1767184240.7743702,13733,51.0
1767184241.0131562,13862,129.0
1767184241.1284645,13922,60.0
1767184241.1895423,13960,38.0
1767184241.2573347,14003,43.0
1767184241.34971,14062,59.0
1767184241.5775537,14201,44.0
1767184241.645132,14249,48.0
1767184241.7202022,14293,44.0
1767184241.996122,14380,87.0
1767184242.1030304,14441,61.0
1767184242.2726145,14546,56.0
1767184242.4799705,14665,119.0
1767184242.7158113,14815,67.0
1767184242.8796096,14922,58.0
1767184243.131505,15098,29.0
1767184243.1935062,15137,39.0
1767184243.2778609,15189,52.0
1767184243.3363237,15226,37.0
1767184243.4009762,15264,38.0
1767184243.833891,15515,50.0
1767184243.9253006,15570,55.0
1767184244.1101625,15688,59.0
1767184244.4539344,15886,115.0
1767184244.5395882,15938,52.0
1767184244.6005194,15980,42.0
1767184244.719153,16049,69.0
1767184244.9126499,16172,77.0
1767184244.9852457,16219,47.0
1767184245.0523326,16261,42.0
1767184245.1545548,16332,44.0
1767184245.2054365,16361,29.0
1767184245.3967493,16396,35.0
1767184245.702577,16545,149.0
1767184245.9652588,16696,46.0
1767184246.2478461,16846,150.0
1767184246.52069,17004,112.0
1767184246.6486006,17093,54.0
1767184246.712068,17136,43.0
1767184246.7959201,17191,55.0
1767184246.8474758,17223,32.0
1767184246.9675674,17288,65.0
1767184247.0791552,17358,70.0
1767184247.2299178,17446,88.0
1767184247.8205457,17817,63.0
1767184247.9046853,17869,52.0
1767184248.0243154,17950,44.0
1767184248.114139,18008,58.0
1767184248.386414,18193,39.0
1767184248.5352867,18282,43.0
