Wall time,Step,Value
1767184216.6539166,43,-162.8970489501953
1767184216.7856526,118,-136.78831481933594
1767184216.8753753,171,-85.20085144042969
1767184216.934593,207,-62.27688217163086
1767184217.4390697,493,-47.00356674194336
1767184217.4911306,527,-62.188209533691406
1767184217.6180346,615,-63.35102081298828
1767184217.722433,676,-31.00252914428711
1767184217.7783484,714,-62.8849983215332
1767184217.8715591,774,-55.973541259765625
1767184217.9264002,813,-90.06787109375
1767184217.9838724,851,-97.51026916503906
1767184218.0982406,925,-64.8761978149414
1767184218.1572626,961,-18.07849884033203
1767184218.3136802,1065,-54.953369140625
1767184218.3711388,1102,-84.47898864746094
1767184218.4875915,1182,-53.33698654174805
1767184218.566796,1233,-85.78533935546875
1767184218.7718656,1359,-130.7097930908203
1767184218.820035,1393,-79.76602172851562
1767184218.935882,1465,-84.43307495117188
1767184218.9807563,1495,-55.004249572753906
1767184219.0569715,1543,-54.2879524230957
1767184219.1191206,1582,-60.732574462890625
1767184219.1729424,1619,-88.64237213134766
1767184219.640535,1903,-40.0760383605957
1767184219.6718633,1926,-92.46659088134766
1767184219.7862713,1993,-94.07618713378906
1767184219.8449547,2029,-116.26689147949219
1767184220.3625114,2078,-82.92173767089844
1767184220.4446275,2126,-42.53874588012695
1767184220.5856109,2216,-63.64079284667969
1767184220.6342807,2249,-86.8196792602539
1767184220.9195673,2408,-122.3816146850586
1767184221.1303074,2537,-97.39517974853516
1767184221.1879551,2576,-97.1753158569336
1767184221.2366009,2608,-82.09254455566406
1767184221.3428433,2670,-49.00041580200195
1767184221.4972506,2756,-81.99492645263672
1767184221.551823,2787,-109.38206481933594
1767184221.618838,2832,-44.36106872558594
1767184221.679483,2868,-78.49113464355469
1767184221.790621,2941,-63.17316818237305
1767184221.8477156,2975,-75.5308837890625
1767184222.0187876,3073,-98.65363311767578
1767184222.1498368,3153,-61.3812141418457
1767184222.2975404,3238,-81.33893585205078
1767184222.4471364,3326,-61.65220642089844
1767184222.598707,3402,-91.29069519042969
1767184222.7082422,3476,-110.1080093383789
1767184222.7754688,3516,-53.079246520996094
1767184222.8951123,3589,-33.953338623046875
1767184222.9676664,3633,-72.1729965209961
1767184223.1701283,3758,-97.6340103149414
1767184223.2130053,3788,-38.99654769897461
1767184223.5579114,3994,-59.88181686401367
1767184223.9795065,4171,-79.9677963256836
1767184224.0382617,4209,-74.59474182128906
1767184224.3015656,4369,-49.160335540771484
1767184224.482708,4482,-70.533447265625
1767184224.543652,4523,-136.12355041503906
1767184224.7045705,4623,-61.08224868774414
1767184224.8104668,4681,-87.91817474365234
1767184224.8783007,4727,-114.31168365478516
1767184225.178642,4906,-83.05786895751953
1767184225.2380795,4944,-96.3486099243164
1767184225.2829123,4973,-88.68101501464844
1767184225.543525,5140,-41.70410919189453
1767184225.8207722,5319,-101.57716369628906
1767184225.8574374,5347,-48.459983825683594
1767184226.0040476,5434,-92.12447357177734
1767184226.0571134,5465,-116.92906951904297
1767184226.1843216,5534,-103.70289611816406
1767184226.2383397,5570,-46.483177185058594
1767184226.2834647,5601,-76.2284164428711
1767184226.431844,5691,-102.13619995117188
1767184226.5986905,5790,-71.98432159423828
1767184226.6584365,5829,-108.2587890625
1767184226.96836,6022,-71.76829528808594
1767184227.0688758,6077,-97.56169128417969
1767184227.3118541,6151,-29.962125778198242
1767184227.3583217,6179,-38.28267288208008
1767184227.6091795,6323,-90.64324951171875
1767184228.124898,6658,-66.17061614990234
1767184228.34504,6781,-168.99786376953125
1767184228.3919227,6810,-26.707651138305664
1767184228.512234,6882,-71.55079650878906
1767184228.6676102,6964,-99.76480865478516
1767184228.7103808,6988,-108.7686538696289
1767184228.9339876,7105,-83.75511932373047
1767184229.2150574,7283,-105.97020721435547
1767184229.2688823,7319,-74.30966186523438
1767184229.3680708,7369,-91.89092254638672
1767184229.6401558,7526,-91.50853729248047
1767184229.6902761,7558,-55.54042053222656
1767184229.735912,7595,-70.05290222167969
1767184229.7936053,7629,-53.93091583251953
1767184229.998578,7738,-128.17242431640625
1767184230.0652363,7780,-52.001930236816406
1767184230.202669,7858,-39.158565521240234
1767184230.262303,7900,-66.42139434814453
1767184230.319927,7934,-57.063148498535156
1767184230.3880696,7975,-37.90961837768555
1767184230.6092002,8108,-86.63124084472656
1767184230.74545,8175,-83.2303466796875
1767184230.9517279,8215,-64.91267395019531
