Wall time,Step,Value
1767183650.661241,10000,-18.48516845703125
1767183658.8348057,11000,-48.89064025878906
1767183665.8892548,12000,-74.38938903808594
1767183672.706562,13000,-92.92634582519531
1767183679.5281625,14000,-103.04464721679688
1767183686.7289982,15000,-113.71012115478516
1767183692.9713378,16000,-119.66736602783203
1767183699.558684,17000,-123.85639953613281
1767183705.9607484,18000,-128.41806030273438
1767183712.950461,19000,-131.0703125
1767183719.854184,20000,-133.42364501953125
1767183727.0428796,21000,-135.98388671875
1767183734.8812354,22000,-137.1900177001953
1767183741.867096,23000,-137.47003173828125
1767183748.9627166,24000,-138.15374755859375
1767183755.9681334,25000,-139.25839233398438
1767183762.8050895,26000,-139.4730987548828
1767183769.7715847,27000,-137.88137817382812
1767183776.870524,28000,-138.91058349609375
1767183783.9386742,29000,-137.57305908203125
1767183791.3776004,30000,-136.97109985351562
1767183799.8802724,31000,-133.88247680664062
1767183808.538494,32000,-134.43084716796875
1767183817.0103168,33000,-133.6025390625
1767183826.0105479,34000,-132.1513671875
1767183834.6241038,35000,-129.9163818359375
1767183843.2972279,36000,-128.85203552246094
1767183851.3718717,37000,-125.56355285644531
1767183858.0916214,38000,-124.28217315673828
1767183864.9848628,39000,-123.1637954711914
1767183871.9137628,40000,-120.61764526367188
1767183878.780979,41000,-121.96271514892578
1767183885.611608,42000,-121.00727844238281
1767183893.1723804,43000,-122.61576843261719
1767183900.3897142,44000,-122.26105499267578
1767183909.8687334,45000,-123.99594116210938
1767183917.7498825,46000,-124.00973510742188
1767183925.062604,47000,-121.07919311523438
1767183932.5388854,48000,-121.96939849853516
1767183939.7681763,49000,-119.91320037841797
1767183947.5344124,50000,-120.40921020507812
1767183955.0857053,51000,-118.64981079101562
1767183962.3925738,52000,-116.68626403808594
1767183969.1385772,53000,-114.02388763427734
1767183975.9661257,54000,-113.44203186035156
1767183983.0280895,55000,-110.81065368652344
1767183989.5040667,56000,-110.00357055664062
1767183996.4822757,57000,-108.6293716430664
1767184003.4380577,58000,-109.55236053466797
1767184009.947034,59000,-106.18849182128906
1767184016.714575,60000,-107.20346069335938
1767184023.9248888,61000,-106.90635681152344
1767184030.8759048,62000,-107.88938903808594
1767184037.9369135,63000,-108.36585998535156
1767184045.093635,64000,-109.55513000488281
1767184052.2060685,65000,-108.50218200683594
1767184059.280888,66000,-107.83123779296875
1767184066.643654,67000,-103.94757080078125
1767184074.2469697,68000,-103.68781280517578
1767184082.1030316,69000,-103.23281860351562
1767184088.8182,70000,-105.50535583496094
1767184095.886606,71000,-104.43923950195312
1767184102.9998105,72000,-102.23587036132812
1767184109.9255784,73000,-102.78407287597656
1767184116.8004606,74000,-99.61609649658203
1767184123.8824568,75000,-100.29133605957031
1767184131.2690864,76000,-94.80137634277344
1767184138.8957112,77000,-93.51914978027344
1767184146.0643146,78000,-94.28285217285156
1767184153.6308215,79000,-93.96214294433594
1767184161.3351622,80000,-93.02008056640625
1767184168.5615637,81000,-93.34391784667969
1767184176.1201441,82000,-93.6160659790039
1767184183.2379847,83000,-92.23443603515625
1767184189.932244,84000,-93.36238098144531
1767184197.1945446,85000,-90.33305358886719
1767184204.087566,86000,-91.5396957397461
1767184210.0781662,87000,-89.72490692138672
1767184217.0983717,88000,-91.78367614746094
1767184225.1550164,89000,-88.10273742675781
1767184233.4517553,90000,-88.08016967773438
1767184241.7392519,91000,-87.79429626464844
1767184250.234184,92000,-87.03573608398438
1767184258.278522,93000,-87.24395751953125
1767184265.906616,94000,-88.50059509277344
1767184273.9865682,95000,-88.98262023925781
1767184282.88395,96000,-87.50495910644531
1767184293.0273561,97000,-84.6187744140625
1767184303.5802567,98000,-86.01798248291016
1767184313.9257011,99000,-83.77493286132812
1767184324.3073158,100000,-82.80921173095703
1767184334.411562,101000,-80.09809875488281
1767184344.4540792,102000,-78.78262329101562
1767184354.5886264,103000,-79.45565795898438
1767184364.307013,104000,-77.03445434570312
1767184374.0674772,105000,-74.80377197265625
1767184384.1737242,106000,-72.25110626220703
1767184394.0234153,107000,-69.31908416748047
1767184404.186559,108000,-69.47526550292969
1767184414.032357,109000,-65.88756561279297
1767184423.6870923,110000,-66.00292205810547
1767184433.6761293,111000,-64.96607971191406
1767184443.4884531,112000,-66.63143920898438
1767184453.4281518,113000,-63.079105377197266
1767184463.5276423,114000,-62.76839828491211
1767184473.5853536,115000,-63.16185760498047
1767184483.3623798,116000,-61.57866668701172
1767184493.1608927,117000,-59.51514434814453
1767184502.9123297,118000,-60.47650146484375
1767184512.847961,119000,-58.3917236328125
1767184522.759389,120000,-57.730899810791016
1767184532.959953,121000,-57.15614700317383
1767184542.8835115,122000,-56.87001037597656
1767184552.7940774,123000,-56.37558364868164
1767184562.3973665,124000,-55.07122039794922
1767184572.8028977,125000,-55.269588470458984
1767184582.902268,126000,-55.76104736328125
1767184593.109572,127000,-55.580322265625
1767184603.2519693,128000,-53.69914627075195
1767184613.7453403,129000,-54.68336868286133
1767184624.7528644,130000,-55.32653045654297
1767184635.883646,131000,-54.3825798034668
1767184646.1459925,132000,-54.9498291015625
1767184655.8075352,133000,-55.4532470703125
1767184666.0210617,134000,-55.311744689941406
1767184676.2655401,135000,-55.25440979003906
1767184686.7530396,136000,-53.4181022644043
1767184697.1096294,137000,-51.8265495300293
1767184707.288605,138000,-53.0035400390625
1767184718.0770822,139000,-52.182701110839844
1767184728.1800053,140000,-51.72875213623047
1767184738.3615198,141000,-50.773887634277344
1767184748.4061432,142000,-51.817535400390625
1767184758.220521,143000,-52.02198791503906
1767184768.253596,144000,-51.22650909423828
1767184778.100457,145000,-52.07746887207031
1767184788.1924288,146000,-48.823020935058594
1767184798.1363163,147000,-49.904178619384766
1767184808.21783,148000,-50.00874328613281
1767184818.110631,149000,-48.354705810546875
1767184828.048866,150000,-49.83335876464844
1767184837.9263644,151000,-50.65150451660156
1767184847.7830315,152000,-51.50870132446289
1767184857.8315778,153000,-51.89653015136719
1767184867.7498891,154000,-51.44490051269531
1767184877.5881724,155000,-49.526222229003906
1767184887.3675208,156000,-50.37118148803711
1767184897.566435,157000,-50.25107192993164
1767184907.602586,158000,-47.189720153808594
1767184918.0887263,159000,-46.60881042480469
1767184927.9940228,160000,-46.788352966308594
1767184937.8211966,161000,-48.64531707763672
1767184947.5182076,162000,-48.51294708251953
1767184957.4304183,163000,-46.988525390625
1767184967.1994445,164000,-47.10009002685547
