Wall time,Step,Value
1767183646.5957444,5477,173.0
1767183665.7560709,11999,18.0
1767183672.841973,13028,21.0
1767183673.3731441,13113,85.0
1767183691.4288824,15767,45.0
1767183699.961268,17071,101.0
1767183704.1910553,17723,233.0
1767183714.573047,19236,91.0
1767183732.6236846,21702,18.0
1767183735.9298048,22141,46.0
1767183744.946628,23432,49.0
1767183750.650183,24251,46.0
1767183769.3548179,26954,30.0
1767183778.3184645,28201,31.0
1767183784.7858238,29127,29.0
1767183795.748751,30513,16.0
1767183796.397368,30581,29.0
1767183802.38965,31314,17.0
1767183803.6797125,31463,68.0
1767183828.2180045,34271,23.0
1767183831.7371073,34678,17.0
1767183836.3729084,35216,15.0
1767183838.4129136,35454,54.0
1767183844.6478202,36169,21.0
1767183847.8934329,36549,36.0
1767183853.1528149,37265,33.0
1767183858.3439465,38045,119.0
1767183860.8901296,38405,92.0
1767183865.9805636,39152,16.0
1767183868.662784,39541,15.0
1767183869.2234206,39627,18.0
1767183869.391297,39658,16.0
1767183871.2275417,39918,18.0
1767183871.9906645,40009,14.0
1767183875.8569603,40565,18.0
1767183876.2875273,40628,23.0
1767183903.9383857,44408,49.0
1767183906.238315,44652,35.0
1767183907.2863498,44750,98.0
1767183910.6796422,45089,16.0
1767183912.8755357,45385,13.0
1767183917.7703335,46018,13.0
1767183922.1983697,46619,15.0
1767183923.6771011,46804,19.0
1767183929.0889244,47545,27.0
1767183947.0774243,49947,21.0
1767183949.1664338,50240,23.0
1767183952.3287165,50650,14.0
1767183958.7876754,51444,13.0
1767183964.331606,52283,13.0
1767183966.155922,52578,26.0
1767183966.8784056,52677,13.0
1767183967.2931972,52730,13.0
1767183968.4004939,52885,13.0
1767183969.9991329,53150,13.0
1767183971.3770714,53358,15.0
1767183972.140489,53457,15.0
1767183974.4335508,53784,30.0
1767183975.6710467,53968,14.0
1767183975.838708,53996,15.0
1767183978.552917,54375,21.0
1767183979.9497778,54571,25.0
1767183988.2015886,55815,124.0
1767183988.575452,55879,64.0
1767183996.6278312,57027,443.0
1767183998.3020544,57274,16.0
1767183998.567643,57309,22.0
1767183999.6967766,57462,18.0
1767184003.4428425,58004,13.0
1767184006.2990088,58477,16.0
1767184006.5601926,58509,15.0
1767184006.967332,58564,14.0
1767184007.3677485,58621,15.0
1767184008.0580692,58724,16.0
1767184008.4641027,58788,17.0
1767184014.8216493,59731,18.0
1767184022.7645175,60845,500.0
1767184046.135638,64147,28.0
1767184046.3050387,64178,31.0
1767184050.8176734,64803,14.0
1767184054.6564894,65358,13.0
1767184054.7861817,65371,13.0
1767184058.4722211,65900,17.0
1767184059.3013878,66017,15.0
1767184060.1260104,66132,17.0
1767184060.4150813,66176,14.0
1767184064.8299396,66779,13.0
1767184065.3077562,66828,18.0
1767184067.0811162,67061,20.0
1767184067.3930824,67107,16.0
1767184081.4983604,68925,24.0
1767184084.431691,69345,21.0
1767184088.0361376,69896,14.0
1767184088.8906493,70006,16.0
1767184092.2492192,70490,14.0
1767184093.586471,70684,13.0
1767184095.1419437,70902,14.0
1767184095.2996407,70932,12.0
1767184096.0337026,71024,12.0
1767184102.5972896,71958,14.0
1767184116.663493,73981,20.0
1767184119.1490319,74329,22.0
1767184119.9885058,74450,14.0
1767184123.600673,74961,14.0
1767184123.8927407,75009,17.0
1767184124.6487496,75114,13.0
1767184129.2830143,75741,16.0
1767184129.9200456,75826,20.0
1767184131.7083437,76061,16.0
1767184131.7272675,76076,15.0
1767184136.2588904,76667,24.0
1767184167.8133826,80911,14.0
1767184168.732065,81029,13.0
1767184169.7871113,81165,13.0
1767184170.8596008,81313,14.0
1767184183.1233723,82999,14.0
1767184186.5560157,83527,19.0
1767184212.3070607,87342,18.0
1767184216.4207425,87923,15.0
1767184220.278212,88407,14.0
1767184225.0002522,88990,12.0
1767184225.5062108,89052,11.0
1767184226.9075792,89234,11.0
1767184228.2410867,89383,14.0
1767184228.5540373,89434,13.0
1767184237.0361943,90449,18.0
1767184240.2189755,90835,22.0
1767184242.9325702,91149,21.0
1767184243.4093823,91206,34.0
1767184261.0435143,93345,500.0
1767184268.4590628,94337,16.0
1767184268.6109753,94353,16.0
1767184271.160094,94655,15.0
1767184274.4430537,95061,14.0
1767184275.4008248,95183,13.0
1767184276.3650975,95314,14.0
1767184281.874047,95905,15.0
1767184283.0977318,96040,16.0
1767184285.2604358,96257,13.0
1767184286.6223104,96390,15.0
1767184289.4006793,96661,14.0
1767184289.985013,96734,15.0
1767184290.1708686,96750,16.0
1767184292.343283,96945,15.0
1767184292.5632112,96962,17.0
1767184292.59562,96976,14.0
1767184294.3808174,97136,17.0
1767184294.996606,97181,16.0
1767184297.9612477,97471,18.0
1767184303.6012826,98010,16.0
1767184307.565101,98387,17.0
1767184312.074122,98828,17.0
1767184315.4489632,99157,17.0
1767184315.8755693,99186,29.0
1767184332.1259902,100777,18.0
1767184338.0303104,101369,14.0
1767184338.4210067,101413,15.0
1767184339.4316711,101515,15.0
1767184341.2047136,101689,14.0
1767184350.6630762,102632,15.0
1767184352.9463544,102843,15.0
1767184358.1053474,103377,15.0
1767184358.2617176,103394,17.0
1767184362.0075576,103773,15.0
1767184362.1827412,103790,17.0
1767184362.3709621,103805,15.0
1767184364.9047704,104066,15.0
1767184364.935485,104080,14.0
1767184365.0877478,104097,17.0
1767184368.823023,104468,14.0
1767184373.0784009,104903,14.0
1767184376.0822666,105220,15.0
1767184377.4592953,105349,14.0
1767184382.5847995,105852,20.0
1767184383.181885,105907,14.0
1767184386.7555852,106266,15.0
1767184391.0705042,106711,17.0
1767184391.48186,106759,16.0
1767184397.6910346,107369,16.0
1767184403.6264534,107955,14.0
1767184405.9530091,108172,14.0
1767184409.7556515,108563,14.0
1767184412.3066463,108830,13.0
1767184422.1341317,109842,18.0
1767184426.5448105,110285,17.0
1767184426.7514443,110302,17.0
1767184427.9583945,110424,16.0
1767184429.356881,110570,16.0
1767184433.7028785,111013,14.0
1767184440.146337,111670,13.0
1767184440.5305963,111710,13.0
1767184441.52988,111810,14.0
1767184445.1405492,112169,14.0
1767184447.0974023,112362,14.0
1767184447.116104,112376,14.0
1767184447.4799802,112406,16.0
1767184457.8505933,113458,15.0
1767184458.4199824,113501,14.0
1767184459.0358772,113561,47.0
1767184459.2519944,113590,15.0
