Wall time,Step,Value
1767183646.5957386,5477,-187.6001739501953
1767183665.7560651,11999,-31.89813995361328
1767183672.841967,13028,-51.40982437133789
1767183673.3731387,13113,-0.4372060000896454
1767183691.4288769,15767,-76.8022689819336
1767183699.9612622,17071,-64.72968292236328
1767183704.1910498,17723,-57.184349060058594
1767183714.5730414,19236,-31.213436126708984
1767183732.623679,21702,-60.905216217041016
1767183735.9297993,22141,-75.13314056396484
1767183744.9466221,23432,-52.516178131103516
1767183750.650177,24251,-60.96490478515625
1767183769.3548124,26954,-22.897981643676758
1767183778.318458,28201,-33.202293395996094
1767183784.785818,29127,-29.76653480529785
1767183795.748745,30513,-72.82965087890625
1767183796.3973622,30581,-101.22229766845703
1767183802.3896441,31314,-6.643982887268066
1767183803.6797066,31463,-57.18916702270508
1767183828.2179987,34271,-32.838008880615234
1767183831.737101,34678,-72.48959350585938
1767183836.3729024,35216,-27.22368621826172
1767183838.4129078,35454,-75.34538269042969
1767183844.6478145,36169,-26.737934112548828
1767183847.893427,36549,-62.02007293701172
1767183853.1528091,37265,-17.473773956298828
1767183858.343941,38045,-98.55706024169922
1767183860.8901227,38405,-59.63639831542969
1767183865.9805584,39152,-20.608959197998047
1767183868.6627784,39541,-43.713504791259766
1767183869.2234154,39627,-1.8247900009155273
1767183869.3912914,39658,-63.99541091918945
1767183871.2275357,39918,-4.664273738861084
1767183871.9906585,40009,-23.47734832763672
1767183875.8569546,40565,-35.883949279785156
1767183876.2875218,40628,32.40494918823242
1767183903.9383802,44408,-35.486629486083984
1767183906.2383091,44652,-18.150230407714844
1767183907.2863395,44750,16.027725219726562
1767183910.6796355,45089,-15.203493118286133
1767183912.8755298,45385,-19.14032554626465
1767183917.7703276,46018,-26.500822067260742
1767183922.1983645,46619,-7.093325614929199
1767183923.6770945,46804,-66.85489654541016
1767183929.0889187,47545,-42.11677551269531
1767183947.0774186,49947,25.359439849853516
1767183949.166428,50240,-6.194851398468018
1767183952.3287113,50650,-15.481623649597168
1767183958.7876697,51444,-40.47267150878906
1767183964.3316007,52283,-40.63566207885742
1767183966.1559162,52578,-54.69648742675781
1767183966.8783998,52677,-31.590848922729492
1767183967.2931914,52730,-26.160518646240234
1767183968.4004881,52885,-19.572938919067383
1767183969.9991274,53150,-20.27297019958496
