Wall time,Step,Value
1767184271.1780045,986,244.0
1767184273.2143881,3924,199.0
1767184273.5586236,4424,500.0
1767184274.4490602,5504,500.0
1767184274.6323078,5785,281.0
1767184274.7856176,6032,247.0
1767184275.146803,6517,440.0
1767184275.9946568,7649,274.0
1767184276.4269295,8149,500.0
1767184280.7416775,10482,19.0
1767184281.349622,10625,19.0
1767184281.441555,10647,22.0
1767184281.5389357,10668,21.0
1767184283.412188,11069,15.0
1767184284.5844574,11312,22.0
1767184285.7125068,11554,87.0
1767184286.3771515,11713,159.0
1767184288.5916262,12210,26.0
1767184289.0144951,12307,97.0
1767184289.4644258,12403,47.0
1767184289.6510723,12444,41.0
1767184291.422281,12830,18.0
1767184292.0343862,12941,37.0
1767184299.4466965,14493,123.0
1767184301.3198278,14871,16.0
1767184301.6077156,14939,17.0
1767184301.8870487,14987,16.0
1767184301.9739707,15003,16.0
1767184302.9906235,15221,18.0
1767184303.37731,15316,21.0
1767184303.724849,15390,21.0
1767184303.8058047,15407,17.0
1767184304.004086,15453,19.0
1767184304.2015932,15500,23.0
1767184304.9428241,15643,24.0
1767184305.0353005,15666,23.0
1767184305.67912,15818,20.0
1767184305.9389553,15863,19.0
1767184306.0313683,15883,20.0
1767184306.3814912,15969,32.0
1767184307.2979352,16168,20.0
1767184307.5974703,16228,20.0
1767184307.7959375,16271,22.0
1767184307.9900796,16314,21.0
1767184308.5719018,16439,20.0
1767184308.655086,16459,20.0
1767184308.743462,16480,21.0
1767184309.2821515,16594,28.0
1767184309.9307973,16735,17.0
1767184310.0120254,16753,18.0
1767184310.0908127,16771,18.0
1767184310.4094422,16854,21.0
1767184310.504801,16875,21.0
1767184310.5997,16895,20.0
1767184311.311961,17041,20.0
1767184311.5585153,17102,21.0
1767184311.6386392,17121,19.0
1767184311.71843,17141,20.0
1767184311.8116078,17161,20.0
1767184312.0025954,17208,26.0
1767184312.374098,17288,20.0
1767184312.5554247,17328,20.0
1767184312.7314045,17368,20.0
1767184313.2093465,17472,22.0
1767184313.2994695,17494,22.0
1767184313.6458976,17561,21.0
1767184314.6094005,17771,119.0
1767184316.446733,18150,17.0
1767184317.3962488,18358,16.0
1767184317.475899,18373,15.0
1767184317.5680711,18393,20.0
1767184320.0083191,18919,56.0
1767184320.2574615,18974,55.0
1767184320.5492163,19038,64.0
1767184321.7724762,19289,14.0
1767184322.0392504,19341,16.0
1767184322.2299743,19381,23.0
1767184322.3277602,19408,14.0
1767184322.785191,19510,34.0
1767184322.9605224,19558,15.0
1767184323.2435703,19618,16.0
1767184323.406578,19652,16.0
1767184323.969587,19780,17.0
1767184324.1228514,19807,13.0
1767184324.1997612,19822,15.0
1767184324.6892035,19952,14.0
1767184325.2230992,20030,14.0
1767184325.6253204,20101,23.0
1767184326.0211174,20194,15.0
1767184326.2796981,20241,22.0
1767184326.49684,20289,48.0
1767184326.78825,20356,20.0
1767184328.7338548,20766,14.0
1767184328.816695,20781,15.0
1767184329.1807642,20874,16.0
1767184329.3398924,20903,14.0
1767184329.3523366,20915,12.0
1767184329.8130312,21015,12.0
1767184329.9053125,21039,12.0
1767184330.3713074,21140,62.0
1767184330.6031394,21197,17.0
1767184330.6860516,21209,12.0
1767184330.7682183,21221,12.0
1767184330.7819347,21235,14.0
1767184330.859367,21248,13.0
1767184330.8718922,21260,12.0
1767184331.696955,21439,14.0
1767184332.4543023,21599,12.0
1767184332.7425444,21647,12.0
1767184332.8342745,21671,12.0
1767184333.106091,21730,12.0
1767184333.375656,21787,12.0
1767184333.4634144,21810,11.0
