Wall time,Step,Value
1767184271.1779983,986,7.850761890411377
1767184273.2143822,3924,-157.40927124023438
1767184273.558617,4424,11.181026458740234
1767184274.4490538,5504,132.9737548828125
1767184274.6323013,5785,36.17547607421875
1767184274.7856112,6032,-64.75049591064453
1767184275.1467967,6517,37.4237174987793
1767184275.9946506,7649,-67.2481460571289
1767184276.4269233,8149,94.464599609375
1767184280.741671,10482,-65.05255889892578
1767184281.3496156,10625,-159.29595947265625
1767184281.441549,10647,-124.05411529541016
1767184281.5389295,10668,-130.36155700683594
1767184283.4121823,11069,-59.92292404174805
1767184284.5844514,11312,-141.770751953125
1767184285.7125006,11554,-42.362491607666016
1767184286.3771453,11713,-36.96672439575195
1767184288.5916204,12210,-143.18435668945312
1767184289.0144892,12307,-140.60366821289062
1767184289.4644172,12403,-34.060123443603516
1767184289.651066,12444,-240.50376892089844
1767184291.4222753,12830,-149.26356506347656
1767184292.03438,12941,-115.98493957519531
1767184299.4466903,14493,-92.44983673095703
1767184301.3198214,14871,-147.80648803710938
1767184301.6077094,14939,-180.51560974121094
1767184301.8870425,14987,-151.5492706298828
1767184301.9739645,15003,-140.10519409179688
1767184302.9906173,15221,-173.91751098632812
1767184303.3773036,15316,-90.94995880126953
1767184303.7248433,15390,-96.80712890625
1767184303.8057988,15407,-160.06964111328125
1767184304.0040798,15453,-131.98583984375
1767184304.2015872,15500,-107.68289947509766
1767184304.9428163,15643,-117.50806427001953
1767184305.0352943,15666,-123.92919158935547
1767184305.6791139,15818,-112.1364974975586
1767184305.938949,15863,-110.27616882324219
1767184306.0313609,15883,-121.53515625
1767184306.381485,15969,-110.00183868408203
1767184307.2979295,16168,-111.39859008789062
1767184307.5974643,16228,-119.62991333007812
1767184307.7959316,16271,-149.644287109375
1767184307.9900737,16314,-132.62342834472656
1767184308.5718956,16439,-117.07392883300781
1767184308.6550798,16459,-138.6739959716797
1767184308.7434556,16480,-154.61094665527344
1767184309.2821453,16594,-117.91854858398438
1767184309.9307911,16735,-158.86717224121094
1767184310.0120192,16753,-114.64612579345703
1767184310.0908065,16771,-81.27796936035156
1767184310.4094365,16854,-133.31546020507812
1767184310.5047948,16875,-106.54361724853516
1767184310.5996904,16895,-128.2877960205078
1767184311.311955,17041,-127.03124237060547
1767184311.5585067,17102,-148.00111389160156
1767184311.638633,17121,-91.0721435546875
1767184311.718424,17141,-118.41058349609375
1767184311.811602,17161,-112.82333374023438
1767184312.0025892,17208,14.00759506225586
1767184312.374092,17288,-138.53627014160156
1767184312.555419,17328,-123.93618774414062
1767184312.7313983,17368,-125.55806732177734
1767184313.2093384,17472,-165.95303344726562
1767184313.2994635,17494,-159.50047302246094
1767184313.6458917,17561,-152.783447265625
1767184314.6093917,17771,-239.0760498046875
1767184316.4467268,18150,-46.55836486816406
1767184317.3962426,18358,-65.15994262695312
1767184317.4758933,18373,-89.74849700927734
1767184317.568065,18393,-52.71225357055664
1767184320.0083132,18919,-188.94839477539062
1767184320.2574553,18974,-170.887939453125
1767184320.54921,19038,57.72256088256836
1767184321.7724702,19289,-83.21083068847656
1767184322.0392447,19341,-67.29434204101562
1767184322.2299683,19381,-47.078914642333984
1767184322.3277543,19408,-94.02296447753906
1767184322.7851853,19510,-109.6861343383789
1767184322.9605165,19558,-86.61614990234375
1767184323.2435646,19618,-85.8255615234375
1767184323.4065726,19652,-92.92127990722656
1767184323.96958,19780,-68.53736114501953
1767184324.1228428,19807,-94.90806579589844
1767184324.1997554,19822,-77.79240417480469
1767184324.6891975,19952,-83.0118408203125
1767184325.2230933,20030,-77.8787841796875
1767184325.6253145,20101,-101.46550750732422
1767184326.021111,20194,-90.2877197265625
1767184326.2796922,20241,-155.7942352294922
1767184326.4968314,20289,-68.54237365722656
1767184326.7882438,20356,-85.3532485961914
1767184328.7338488,20766,-96.28668975830078
1767184328.816689,20781,-69.85125732421875
1767184329.180758,20874,-93.55935668945312
1767184329.3398867,20903,-95.6966781616211
1767184329.352331,20915,-104.93004608154297
1767184329.813025,21015,-87.85226440429688
1767184329.9053066,21039,-109.03250885009766
1767184330.3713012,21140,-72.32109069824219
1767184330.6031327,21197,-79.7496566772461
1767184330.6860454,21209,-98.07247924804688
1767184330.7682123,21221,-98.84329986572266
1767184330.7819293,21235,-103.12821197509766
1767184330.8593605,21248,-91.60851287841797
1767184330.8718863,21260,-104.26643371582031
1767184331.6969485,21439,-96.42816162109375
1767184332.4542964,21599,-106.75346374511719
1767184332.7425385,21647,-123.08644104003906
1767184332.8342686,21671,-112.15978240966797
1767184333.1060848,21730,-114.1247787475586
1767184333.3756456,21787,-114.85453033447266
1767184333.4634054,21810,-106.01360321044922
1767184333.7010262,21868,-85.26150512695312
1767184333.9498644,21923,-103.32028198242188
1767184333.9618409,21935,-116.9151611328125
1767184334.2975276,22005,-85.5761489868164
1767184334.3099775,22017,-94.49868774414062
1767184334.55547,22062,-89.7322006225586
1767184334.984009,22176,-89.57909393310547
1767184335.0548995,22187,-89.27074432373047
1767184335.1454413,22210,-94.1963119506836
1767184335.318559,22256,-86.03520202636719
1767184335.3986135,22267,-105.48399353027344
1767184335.4815152,22288,-104.20209503173828
1767184335.6515932,22333,-93.48943328857422
1767184335.7291956,22355,-103.42068481445312
1767184336.084537,22428,-82.20172882080078
